Altium Designer Pick and Place Locations
C:\Users\hasee\Desktop\Projects\ProjectC\Project-C\Project-C_Controller\Project Outputs for Project-C_CONTOLLER\Pick Place for PCB4.csv

========================================================================================================================
File Design Information:

Date:       27/02/21
Time:       14:13
Revision:   3850a676103e38153d05ed2e37a55e15890f0fa9
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"J5_U_BOARD_CONNECTOR_1x_2","RJHSE-5381","TopLayer","RJHSE5381","124,3330","-8,0600","180","Modular Connectors / Ethernet Connectors R/A RJ45 SHEILDED 8 CONT Y/G LEDS"
"J3","101","TopLayer","101","125,1800","-42,6550","360","Coin Cell Battery Holders 20mm coin cell HOLDER"
"U11","TMCS1101A2BQDT","TopLayer","SOIC127P600X175-8N","14,9860","-59,1200","90","Board Mount Current Sensors Precision isolated current sensor with internal reference 8-SOIC -40 to 125"
"P3","Enable","TopLayer","HEADER_2","3,6830","-51,6720","180",""
"C56","0.1uF/16V","TopLayer","0603C","11,4300","-55,6710","90","Multilayer Ceramic Capacitors MLCC - SMD/SMT 0603 16VDC 0.1uF 10% X7R AEC-Q2000"
"R39","220R","BottomLayer","0603R","2,7940","-76,1250","360","Thick Film Resistors - SMD 1/10Watt 220ohms 5% Commercial Use"
"R38","10K","TopLayer","0603R","9,9060","-11,2860","360","Thick Film Resistors - SMD 0603 10Kohms 1% Anti-Sulfur AEC-Q200"
"R37","220R","BottomLayer","0603R","6,7310","-11,2860","180","Thick Film Resistors - SMD 1/10Watt 220ohms 5% Commercial Use"
"D10","LEDR","TopLayer","LED_0603","2,7940","-76,1250","180","Standard LEDs - SMD Red 631nm 14mcd 5mA"
"D9","LEDR","TopLayer","LED_0603","6,7310","-11,2860","360","Standard LEDs - SMD Red 631nm 14mcd 5mA"
"C55","0.1uF/16V","BottomLayer","0603C","30,9630","-69,1885","180","Multilayer Ceramic Capacitors MLCC - SMD/SMT 0603 16VDC 0.1uF 10% X7R AEC-Q2000"
"C54","1uF/16V","BottomLayer","0603C","30,9880","-67,5470","360","Multilayer Ceramic Capacitors MLCC - SMD/SMT 16volts 1uF X7R 10%"
"P2","POWER","TopLayer","HEADER_2","8,1280","-51,6720","180",""
"R29_U_BOARD_CONNECTOR_1x_4","10K","BottomLayer","0603R","125,3490","-72,1190","90","Thick Film Resistors - SMD 0603 10Kohms 1% Anti-Sulfur AEC-Q200"
"U9","ADG708BRUZ","TopLayer","ADG708BRUZ","85,4880","-62,6050","360","Multiplexer Switch ICs 8-CHANNEL MUX"
"X3","ECS-080-20-5PX-TR","TopLayer","ECS-080-20-5PX-TR","58,8518","-42,4010","270","Crystals 8MHz 20pF -10C +70C"
"X2","FC-135R 32.7680KA-AC","TopLayer","FC-135R_32.7680KA-AC","67,0560","-38,0830","180","Crystals SMD XTL KHZ +/-20PPM,-40 85C 9.0PF BULK"
"R36","1M","TopLayer","0805R","62,9920","-42,4010","270","Thick Film Resistors - SMD 0603 0.25W 1% 1Mohm AEC-Q200"
"C53","20pF/50V","TopLayer","0603C","64,1350","-37,6749","90","Multilayer Ceramic Capacitors MLCC - SMD/SMT 50V 20pF 0603 C0G 5% AEC-Q200"
"C52","20pF/50V","TopLayer","0603C","69,9770","-37,6749","90","Multilayer Ceramic Capacitors MLCC - SMD/SMT 50V 20pF 0603 C0G 5% AEC-Q200"
"C51","20pF/50V","TopLayer","0603C","58,2788","-33,6380","180","Multilayer Ceramic Capacitors MLCC - SMD/SMT 50V 20pF 0603 C0G 5% AEC-Q200"
"R35_U_BOARD_CONNECTOR_1x_4","220R","TopLayer","0603R","117,9830","-69,7060","360","Thick Film Resistors - SMD 1/10Watt 220ohms 5% Commercial Use"
"R35_U_BOARD_CONNECTOR_1x_3","220R","TopLayer","0603R","71,2470","-69,7060","360","Thick Film Resistors - SMD 1/10Watt 220ohms 5% Commercial Use"
"R35_U_BOARD_CONNECTOR_1x_2","220R","TopLayer","0603R","111,5140","-14,9940","180","Thick Film Resistors - SMD 1/10Watt 220ohms 5% Commercial Use"
"R35_U_BOARD_CONNECTOR_1x_1","220R","TopLayer","0603R","63,4480","-14,9940","180","Thick Film Resistors - SMD 1/10Watt 220ohms 5% Commercial Use"
"R34_U_BOARD_CONNECTOR_1x_4","220R","TopLayer","0603R","97,7900","-69,7060","360","Thick Film Resistors - SMD 1/10Watt 220ohms 5% Commercial Use"
"R34_U_BOARD_CONNECTOR_1x_3","220R","TopLayer","0603R","50,8000","-69,7060","360","Thick Film Resistors - SMD 1/10Watt 220ohms 5% Commercial Use"
"R34_U_BOARD_CONNECTOR_1x_2","220R","TopLayer","0603R","131,3400","-14,9940","180","Thick Film Resistors - SMD 1/10Watt 220ohms 5% Commercial Use"
"R34_U_BOARD_CONNECTOR_1x_1","220R","TopLayer","0603R","83,6410","-14,9940","180","Thick Film Resistors - SMD 1/10Watt 220ohms 5% Commercial Use"
"R33","220R","TopLayer","0603R","67,3208","-49,9135","180","Thick Film Resistors - SMD 1/10Watt 220ohms 5% Commercial Use"
"R32","220R","TopLayer","0603R","67,3208","-51,6135","180","Thick Film Resistors - SMD 1/10Watt 220ohms 5% Commercial Use"
"D8_U_BOARD_CONNECTOR_1x_4","LEDR","TopLayer","LED_0603","121,0310","-69,6575","360","Standard LEDs - SMD Red 631nm 14mcd 5mA"
"D8_U_BOARD_CONNECTOR_1x_3","LEDR","TopLayer","LED_0603","74,4220","-69,6575","360","Standard LEDs - SMD Red 631nm 14mcd 5mA"
"D8_U_BOARD_CONNECTOR_1x_2","LEDR","TopLayer","LED_0603","108,4660","-14,9455","180","Standard LEDs - SMD Red 631nm 14mcd 5mA"
