Altium Designer Pick and Place Locations
C:\Users\hasee\Desktop\Projects\ProjectC\Project-C\Project-C_LED\Project Outputs for Project-C_LED\Pick Place for PCB5.csv

========================================================================================================================
File Design Information:

Date:       23/01/21
Time:       23:20
Revision:   f896dba6410761547f5a05c5f4e9d2a45f681a57
Variant:    No variations
Units used: mil

"Designator","Comment","Layer","Footprint","Center-X(mil)","Center-Y(mil)","Rotation","Description"
"U7_U_LED_BUFFER104","74LV540APWJ","TopLayer","SOP65P640X110-20N","8740,631","257,165","270","Buffers & Line Drivers BUFFER LINE DRIVER
"
"U7_U_LED_BUFFER103","74LV540APWJ","TopLayer","SOP65P640X110-20N","6740,632","257,165","270","Buffers & Line Drivers BUFFER LINE DRIVER
"
"U7_U_LED_BUFFER102","74LV540APWJ","TopLayer","SOP65P640X110-20N","4740,632","257,165","270","Buffers & Line Drivers BUFFER LINE DRIVER
"
"U7_U_LED_BUFFER94","74LV540APWJ","TopLayer","SOP65P640X110-20N","8280,631","257,165","270","Buffers & Line Drivers BUFFER LINE DRIVER
"
"U7_U_LED_BUFFER93","74LV540APWJ","TopLayer","SOP65P640X110-20N","6280,632","257,165","270","Buffers & Line Drivers BUFFER LINE DRIVER
"
"U7_U_LED_BUFFER92","74LV540APWJ","TopLayer","SOP65P640X110-20N","4280,632","257,165","270","Buffers & Line Drivers BUFFER LINE DRIVER
"
"U7_U_LED_BUFFER84","74LV540APWJ","TopLayer","SOP65P640X110-20N","7220,632","287,165","180","Buffers & Line Drivers BUFFER LINE DRIVER
"
"U7_U_LED_BUFFER83","74LV540APWJ","TopLayer","SOP65P640X110-20N","5220,632","287,165","180","Buffers & Line Drivers BUFFER LINE DRIVER
"
"U7_U_LED_BUFFER82","74LV540APWJ","TopLayer","SOP65P640X110-20N","3220,631","287,165","180","Buffers & Line Drivers BUFFER LINE DRIVER
"
"U7_U_LED_BUFFER74","74LV540APWJ","TopLayer","SOP65P640X110-20N","7220,632","737,165","180","Buffers & Line Drivers BUFFER LINE DRIVER
"
"U7_U_LED_BUFFER73","74LV540APWJ","TopLayer","SOP65P640X110-20N","5220,632","737,165","180","Buffers & Line Drivers BUFFER LINE DRIVER
"
"U7_U_LED_BUFFER72","74LV540APWJ","TopLayer","SOP65P640X110-20N","3220,631","737,165","180","Buffers & Line Drivers BUFFER LINE DRIVER
"
"U7_U_LED_BUFFER64","74LV540APWJ","TopLayer","SOP65P640X110-20N","8720,631","1237,165","270","Buffers & Line Drivers BUFFER LINE DRIVER
"
"U7_U_LED_BUFFER63","74LV540APWJ","TopLayer","SOP65P640X110-20N","6720,632","1237,165","270","Buffers & Line Drivers BUFFER LINE DRIVER
"
"U7_U_LED_BUFFER62","74LV540APWJ","TopLayer","SOP65P640X110-20N","4720,632","1237,165","270","Buffers & Line Drivers BUFFER LINE DRIVER
"
"U7_U_LED_BUFFER54","74LV540APWJ","TopLayer","SOP65P640X110-20N","7220,632","1187,165","180","Buffers & Line Drivers BUFFER LINE DRIVER
"
"U7_U_LED_BUFFER53","74LV540APWJ","TopLayer","SOP65P640X110-20N","5220,632","1187,165","180","Buffers & Line Drivers BUFFER LINE DRIVER
"
"U7_U_LED_BUFFER52","74LV540APWJ","TopLayer","SOP65P640X110-20N","3220,631","1187,165","180","Buffers & Line Drivers BUFFER LINE DRIVER
"
"U7_U_LED_BUFFER44","74LV540APWJ","TopLayer","SOP65P640X110-20N","7220,632","1647,165","180","Buffers & Line Drivers BUFFER LINE DRIVER
"
"U7_U_LED_BUFFER43","74LV540APWJ","TopLayer","SOP65P640X110-20N","5220,632","1647,165","180","Buffers & Line Drivers BUFFER LINE DRIVER
"
"U7_U_LED_BUFFER42","74LV540APWJ","TopLayer","SOP65P640X110-20N","3220,631","1647,165","180","Buffers & Line Drivers BUFFER LINE DRIVER
"
"U7_U_LED_BUFFER34","74LV540APWJ","TopLayer","SOP65P640X110-20N","8720,631","2067,165","270","Buffers & Line Drivers BUFFER LINE DRIVER
"
"U7_U_LED_BUFFER33","74LV540APWJ","TopLayer","SOP65P640X110-20N","6720,632","2067,165","270","Buffers & Line Drivers BUFFER LINE DRIVER
"
"U7_U_LED_BUFFER32","74LV540APWJ","TopLayer","SOP65P640X110-20N","4720,632","2067,165","270","Buffers & Line Drivers BUFFER LINE DRIVER
"
"U7_U_LED_BUFFER24","74LV540APWJ","TopLayer","SOP65P640X110-20N","7691,227","2070,504","270","Buffers & Line Drivers BUFFER LINE DRIVER
"
"U7_U_LED_BUFFER23","74LV540APWJ","TopLayer","SOP65P640X110-20N","5691,227","2070,504","270","Buffers & Line Drivers BUFFER LINE DRIVER
"
"U7_U_LED_BUFFER22","74LV540APWJ","TopLayer","SOP65P640X110-20N","3691,227","2070,504","270","Buffers & Line Drivers BUFFER LINE DRIVER
"
