Altium Designer Pick and Place Locations
C:\Users\hasee\Desktop\Projects\ProjectC\Project-C\Project-C_Voltage\Project Outputs for Project-C_VOLTAGE\Pick Place for PCB2.csv

========================================================================================================================
File Design Information:

Date:       23/01/21
Time:       21:52
Revision:   0260f0e157e236405ff0f8f0d74f63e12d3f14db
Variant:    No variations
Units used: mil

"Designator","Comment","Layer","Footprint","Center-X(mil)","Center-Y(mil)","Rotation","Description"
"R26_U_VoltageAmplifier344","1K","TopLayer","0603R","8727,087","855,181","360","Resistor"
"P1_IO1","10M04SC E144","TopLayer","10M04SCE144C8G","2034,727","2164,535","0","FPGA - Field Programmable Gate Array non-volatile FPGA, 101 I/O, 144EQFP"
"C34_U_VoltageAmplifier11","0.1uF/50V","TopLayer","0603C","1240,087","3124,181","180","Multilayer Ceramic Capacitors MLCC - SMD/SMT 50V 0.1uF 0603 X7R 20%"
"C34_U_VoltageAmplifier12","0.1uF/50V","TopLayer","0603C","3240,087","3124,181","180","Multilayer Ceramic Capacitors MLCC - SMD/SMT 50V 0.1uF 0603 X7R 20%"
"C34_U_VoltageAmplifier13","0.1uF/50V","TopLayer","0603C","5240,087","3124,181","180","Multilayer Ceramic Capacitors MLCC - SMD/SMT 50V 0.1uF 0603 X7R 20%"
"C34_U_VoltageAmplifier14","0.1uF/50V","TopLayer","0603C","7240,087","3124,181","180","Multilayer Ceramic Capacitors MLCC - SMD/SMT 50V 0.1uF 0603 X7R 20%"
"C34_U_VoltageAmplifier21","0.1uF/50V","BottomLayer","0603C","1240,087","3124,181","180","Multilayer Ceramic Capacitors MLCC - SMD/SMT 50V 0.1uF 0603 X7R 20%"
"C34_U_VoltageAmplifier22","0.1uF/50V","BottomLayer","0603C","3240,087","3124,181","180","Multilayer Ceramic Capacitors MLCC - SMD/SMT 50V 0.1uF 0603 X7R 20%"
"C34_U_VoltageAmplifier23","0.1uF/50V","BottomLayer","0603C","5240,087","3124,181","180","Multilayer Ceramic Capacitors MLCC - SMD/SMT 50V 0.1uF 0603 X7R 20%"
"C34_U_VoltageAmplifier24","0.1uF/50V","BottomLayer","0603C","7240,087","3124,181","180","Multilayer Ceramic Capacitors MLCC - SMD/SMT 50V 0.1uF 0603 X7R 20%"
"C34_U_VoltageAmplifier31","0.1uF/50V","TopLayer","0603C","1240,087","3474,181","180","Multilayer Ceramic Capacitors MLCC - SMD/SMT 50V 0.1uF 0603 X7R 20%"
"C34_U_VoltageAmplifier32","0.1uF/50V","TopLayer","0603C","3240,087","3474,181","180","Multilayer Ceramic Capacitors MLCC - SMD/SMT 50V 0.1uF 0603 X7R 20%"
"C34_U_VoltageAmplifier33","0.1uF/50V","TopLayer","0603C","5240,087","3474,181","180","Multilayer Ceramic Capacitors MLCC - SMD/SMT 50V 0.1uF 0603 X7R 20%"
"C34_U_VoltageAmplifier34","0.1uF/50V","TopLayer","0603C","7240,087","3474,181","180","Multilayer Ceramic Capacitors MLCC - SMD/SMT 50V 0.1uF 0603 X7R 20%"
"C34_U_VoltageAmplifier41","0.1uF/50V","BottomLayer","0603C","1240,087","3474,181","180","Multilayer Ceramic Capacitors MLCC - SMD/SMT 50V 0.1uF 0603 X7R 20%"
"C34_U_VoltageAmplifier42","0.1uF/50V","BottomLayer","0603C","3240,087","3474,181","180","Multilayer Ceramic Capacitors MLCC - SMD/SMT 50V 0.1uF 0603 X7R 20%"
"C34_U_VoltageAmplifier43","0.1uF/50V","BottomLayer","0603C","5240,087","3474,181","180","Multilayer Ceramic Capacitors MLCC - SMD/SMT 50V 0.1uF 0603 X7R 20%"
"C34_U_VoltageAmplifier44","0.1uF/50V","BottomLayer","0603C","7240,087","3474,181","180","Multilayer Ceramic Capacitors MLCC - SMD/SMT 50V 0.1uF 0603 X7R 20%"
"C34_U_VoltageAmplifier51","0.1uF/50V","TopLayer","0603C","1240,087","3824,181","180","Multilayer Ceramic Capacitors MLCC - SMD/SMT 50V 0.1uF 0603 X7R 20%"
"C34_U_VoltageAmplifier52","0.1uF/50V","TopLayer","0603C","3240,087","3824,181","180","Multilayer Ceramic Capacitors MLCC - SMD/SMT 50V 0.1uF 0603 X7R 20%"
"C34_U_VoltageAmplifier53","0.1uF/50V","TopLayer","0603C","5240,087","3824,181","180","Multilayer Ceramic Capacitors MLCC - SMD/SMT 50V 0.1uF 0603 X7R 20%"
"C34_U_VoltageAmplifier54","0.1uF/50V","TopLayer","0603C","7240,087","3824,181","180","Multilayer Ceramic Capacitors MLCC - SMD/SMT 50V 0.1uF 0603 X7R 20%"
"C34_U_VoltageAmplifier61","0.1uF/50V","BottomLayer","0603C","1240,087","3824,181","180","Multilayer Ceramic Capacitors MLCC - SMD/SMT 50V 0.1uF 0603 X7R 20%"
"C34_U_VoltageAmplifier62","0.1uF/50V","BottomLayer","0603C","3240,087","3824,181","180","Multilayer Ceramic Capacitors MLCC - SMD/SMT 50V 0.1uF 0603 X7R 20%"
"C34_U_VoltageAmplifier63","0.1uF/50V","BottomLayer","0603C","5240,087","3824,181","180","Multilayer Ceramic Capacitors MLCC - SMD/SMT 50V 0.1uF 0603 X7R 20%"
"C34_U_VoltageAmplifier64","0.1uF/50V","BottomLayer","0603C","7240,087","3824,181","180","Multilayer Ceramic Capacitors MLCC - SMD/SMT 50V 0.1uF 0603 X7R 20%"
